name,risk
0000019.jpg,0.05174677446484566
0000028.jpg,0.010442494414746761
0000060.jpg,0.038151632994413376
0000065.jpg,0.0032073380425572395
0000069.jpg,0.017878947779536247
0000082.jpg,0.25564345717430115
0000098.jpg,0.008197859860956669
0000105.jpg,0.4448009133338928
0000108.jpg,0.006030975375324488
0000116.jpg,0.4065408408641815
0000120.jpg,0.31550633907318115
0000124.jpg,0.180358424782753
0000177.jpg,0.051884204149246216
0000187.jpg,0.5034094452857971
0000199.jpg,0.11626236140727997
0000213.jpg,0.28067541122436523
0000226.jpg,0.41934189200401306
0000228.jpg,0.04372183233499527
0000233.jpg,0.03141473978757858
0000240.jpg,0.08778639882802963
0000251.jpg,0.9547445178031921
0000256.jpg,0.0719325840473175
0000265.jpg,0.06148196756839752
0000267.jpg,0.19114235043525696
0000315.jpg,0.0077779414132237434
0000320.jpg,0.2554519772529602
0000324.jpg,0.2597474157810211
0000341.jpg,0.5618468523025513
0000366.jpg,0.0011741527123376727
0000380.jpg,0.017562124878168106
0000384.jpg,0.09835450351238251
0000388.jpg,0.007491404190659523
0000431.jpg,0.18038244545459747
0000442.jpg,0.03491858020424843
0000456.jpg,0.6488676071166992
0000476.jpg,0.21508347988128662
0000492.jpg,0.7977412343025208
0000501.jpg,0.6402047276496887
0000527.jpg,0.08272737264633179
0000535.jpg,0.0029399595223367214
0000536.jpg,0.06865042448043823
0000542.jpg,0.03789272531867027
0000556.jpg,0.09788007289171219
0000557.jpg,0.0013476901222020388
0000561.jpg,7.463562360499054e-05
0000575.jpg,0.0001482252118876204
0000578.jpg,8.797181180852931e-06
0000579.jpg,7.529651338700205e-05
0000583.jpg,0.0005609895451925695
0000632.jpg,0.00022293969232123345
0000637.jpg,0.00018099926819559187
0000650.jpg,0.00010352415847592056
0000653.jpg,1.9863196939695626e-05
0000656.jpg,0.0007938236813060939
0000658.jpg,0.0007134726620279253
0000663.jpg,5.9133381000719965e-05
0000670.jpg,0.0005044667050242424
0000678.jpg,0.0008359189960174263
0000693.jpg,3.0041437639738433e-05
0000694.jpg,0.0004761912568937987
0000700.jpg,0.0008628544164821506
0000709.jpg,0.0002749864070210606
0000731.jpg,0.0005208807997405529
0000737.jpg,0.002488805213943124
0000745.jpg,0.0005812511662952602
0000757.jpg,0.0023056946229189634
0000765.jpg,0.0007592345355078578
0000768.jpg,0.0009211061988025904
0000775.jpg,0.0005705330986529589
0000780.jpg,0.0014755579177290201
0000787.jpg,0.000529040873516351
0000794.jpg,0.001106960466131568
0000811.jpg,0.0037004007026553154
0000826.jpg,0.0008553233928978443
0000828.jpg,0.0006395219825208187
0000844.jpg,0.00034445658093318343
0000845.jpg,5.2162646170472726e-05
0000873.jpg,0.0008925045258365571
0000878.jpg,1.210958907904569e-05
0000890.jpg,0.0004359311133157462
0000902.jpg,0.00026374150183983147
